"Reference","Value","Footprint","数量"
"C1","1u","$74th:Capacitor_0805_2012","1"
"C2, C3","100n","$74th:Capacitor_0805_2012","2"
"C4, C5","10u","$74th:Capacitor_0805_2012","2"
"CH1","I2C","$74th:HY2.0_Socket_SMD_4Pin","1"
"CH2","UART","$74th:HY2.0_Socket_SMD_4Pin","1"
"CH3","GPIO","$74th:HY2.0_Socket_SMD_4Pin","1"
"D1","SK6812MINI","$74th:YS-SK6812MINI-E-BACK-RIGHT","1"
"F1","KT6-1100SMDI(NC)","$74th:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","1"
"J1","Prog","$74th:BoxPinHeader_2x03_P1.27mm_Vertical","1"
"J2","USB2.0_C_v3","$74th:USB-C-12-Pin-MidMount-ali-v5","1"
"JP1-JP3","Jumper_3_Open","$74th:VCC_Selector_Jumper","3"
"R1, R2, R5-R7","10k","$74th:Capacitor_0805_2012","5"
"R3, R4","5.1k","$74th:Capacitor_0805_2012","2"
"R8","42k","$74th:Capacitor_0805_2012","1"
"SW1","G3","$74th:SKRPABE010","1"
"SW2","BOOT","$74th:SKRPABE010","1"
"SW3","RST","$74th:SKRPABE010","1"
"U1","ESP32-C3-WROOM-02","$74th-imported:ESP32-C3-WROOM-02","1"
"U2","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1"
"U4","CH217K","Package_TO_SOT_SMD:SOT-23-6","1"
